date,hour,season,weathersit,weekday,workingday,holiday,weekend,registered,casual,total
2011-01-01,0,Spring,Clear/Cloudy,6,0,0,1,13,3,16
2011-01-01,1,Spring,Clear/Cloudy,6,0,0,1,32,8,40
2011-01-01,2,Spring,Clear/Cloudy,6,0,0,1,27,5,32
2011-01-01,3,Spring,Clear/Cloudy,6,0,0,1,10,3,13
2011-01-01,4,Spring,Clear/Cloudy,6,0,0,1,1,0,1
2011-01-01,5,Spring,Misty/Cloudy,6,0,0,1,1,0,1
2011-01-01,6,Spring,Clear/Cloudy,6,0,0,1,0,2,2
2011-01-01,7,Spring,Clear/Cloudy,6,0,0,1,2,1,3
2011-01-01,8,Spring,Clear/Cloudy,6,0,0,1,7,1,8
2011-01-01,9,Spring,Clear/Cloudy,6,0,0,1,6,8,14
2011-01-01,10,Spring,Clear/Cloudy,6,0,0,1,24,12,36
2011-01-01,11,Spring,Clear/Cloudy,6,0,0,1,30,26,56
2011-01-01,12,Spring,Clear/Cloudy,6,0,0,1,55,29,84
2011-01-01,13,Spring,Misty/Cloudy,6,0,0,1,47,47,94
2011-01-01,14,Spring,Misty/Cloudy,6,0,0,1,71,35,106
2011-01-01,15,Spring,Misty/Cloudy,6,0,0,1,70,40,110
2011-01-01,16,Spring,Misty/Cloudy,6,0,0,1,52,41,93
2011-01-01,17,Spring,Misty/Cloudy,6,0,0,1,52,15,67
2011-01-01,18,Spring,Light Precipitation,6,0,0,1,26,9,35
2011-01-01,19,Spring,Light Precipitation,6,0,0,1,31,6,37
2011-01-01,20,Spring,Misty/Cloudy,6,0,0,1,25,11,36
2011-01-01,21,Spring,Misty/Cloudy,6,0,0,1,31,3,34
2011-01-01,22,Spring,Misty/Cloudy,6,0,0,1,17,11,28
2011-01-01,23,Spring,Misty/Cloudy,6,0,0,1,24,15,39
2011-01-02,0,Spring,Misty/Cloudy,0,0,0,1,13,4,17
2011-01-02,1,Spring,Misty/Cloudy,0,0,0,1,16,1,17
2011-01-02,2,Spring,Misty/Cloudy,0,0,0,1,8,1,9
2011-01-02,3,Spring,Misty/Cloudy,0,0,0,1,4,2,6
